General features,Number or % of total
Chromosome size (bp),"2,341,251"
G+C content,27.05%
CDS numbers,2259
Assigned function,1011 (45%)
Pseudogenes,5
General function,505 (22%)
Conserved hypothetical/hypothetical,743 (33%)
Prophage,1
Genetic islands,3
Ribosomal RNA operons,5
Plasmids,0
IS elements,0
Poly GC tracts,0
Gene classes,
Chemotaxis proteins,46
Che/Mot proteins,11
Methyl-accepting chemotaxis proteins,29
Methyl-accepting chemotaxis proteins Redox-sensing PAS domain proteins,29 3
Redox-sensing PAS domain proteins Cyclic diguanylic acid proteins,3 25
Cyclic diguanylic acid proteins,25
Cyclic diguanylic acid proteins Restriction/modification systems,25
Restriction/modification systems,
Restriction/modification systems Type I,$0
Type I,$0
Type I Type II/IS,$0 0
Type II/IS,0
Type II/IS Type II,0 0
Type II,0
Type II Transcriptional regulators,0
Transcriptional regulators Regulatory proteins,36
Regulatory proteins Non-ECF family α factors,36 1
Non-ECF family α factors,1
ECF family α/anti-a factor pairs,7
Two-component systems,
Response regulator,42
Sensor histidine kinase,37
Taxon-specific genes,
A. butzleri proteins found:,
Within e-Proteobacterial taxa,1754 (77.6%)
Campylobacter only,98 (4.3%)
Helicobacter only,10 (0.4%)
5. denitrificans or W. succinogenes only,133 (5.9%)
Sulfurovum or Nitratiruptor only,56 (24.8%)
Only in non s-Proteobacterial taxa,190 (8.4%)
Unique A. butzleri proteins,315 (13.9%)
